phrase,english,context,related
Danke!,Thank you!,sich bedanken,Danke schön! Vielen Dank!
Danke schön!,Thank you very much!,sich sehr bedanken,Danke! Vielen Dank!
Vielen Dank!,Thank you very much!,sich sehr bedanken,Danke! Danke schön!
Herzlichen Glückwunsch!,Congratulations!,zum Geburtstag oder Erfolg,Alles Gute!
Alles Gute zum Geburtstag!,Happy Birthday!,Geburtstagswunsch,Herzlichen Glückwunsch!
Gute Besserung!,Get well soon!,wenn jemand krank ist,Alles Gute!
Viel Glück!,Good luck!,Glück wünschen,Alles Gute!
Prost!,Cheers!,beim Trinken,Zum Wohl!
Guten Appetit!,Enjoy your meal!,vor dem Essen,Mahlzeit!
Wie spät ist es?,What time is it?,nach der Uhrzeit fragen,Haben Sie die Uhrzeit?
Es ist ... Uhr.,It is ... o'clock.,die Uhrzeit sagen,Es ist halb...
Haben Sie die Uhrzeit?,Do you have the time? (formal),nach der Zeit fragen (Sie-Form),Wie spät ist es?
Wie viel kostet das?,How much does that cost?,nach dem Preis fragen,Wie teuer ist das?
Das kostet ... Euro.,That costs ... euros.,den Preis nennen,Der Preis ist...
Ich möchte bezahlen.,I would like to pay.,im Restaurant oder Geschäft,Die Rechnung bitte.
Die Rechnung bitte.,The bill please.,im Restaurant,Ich möchte bezahlen.
Kann ich mit Karte bezahlen?,Can I pay by card?,nach Kartenzahlung fragen,Nehmen Sie Kreditkarten?
Wo ist die Toilette?,Where is the toilet/bathroom?,nach der Toilette fragen,Wo ist die Toilette bitte?
Wo ist der Bahnhof?,Where is the train station?,nach dem Weg fragen,Wie komme ich zum Bahnhof?
Wie komme ich zum...?,How do I get to...?,nach dem Weg fragen,Wo ist...?
Geradeaus!,Straight ahead!,Richtung angeben,Links! Rechts!
Links!,Left!,Richtung angeben,Rechts! Geradeaus!
Rechts!,Right!,Richtung angeben,Links! Geradeaus!
Können Sie mir helfen?,Can you help me? (formal),um Hilfe bitten (Sie-Form),Kannst du mir helfen?
Kannst du mir helfen?,Can you help me? (informal),um Hilfe bitten (du-Form),Können Sie mir helfen?
Ich brauche Hilfe.,I need help.,Hilfe brauchen,Können Sie mir helfen?
Hilfe!,Help!,in einer Notsituation,Ich brauche Hilfe.
Notfall!,Emergency!,in einer Notsituation,Hilfe!
Rufen Sie einen Arzt!,Call a doctor! (formal),medizinischer Notfall,Rufen Sie einen Krankenwagen!
Rufen Sie einen Krankenwagen!,Call an ambulance! (formal),medizinischer Notfall,Rufen Sie einen Arzt!
Ich habe mich verlaufen.,I'm lost.,wenn man den Weg nicht kennt,Ich habe mich verirrt.
Es ist dringend.,It's urgent.,wenn etwas sehr wichtig ist,Es ist wichtig.
Ich verstehe die Frage nicht.,I don't understand the question.,bei einer unklaren Frage,Können Sie das erklären?
Können Sie das erklären?,Can you explain that? (formal),um Erklärung bitten (Sie-Form),Kannst du das erklären?
Kannst du das erklären?,Can you explain that? (informal),um Erklärung bitten (du-Form),Können Sie das erklären?
Ich weiß nicht.,I don't know.,wenn man die Antwort nicht kennt,Keine Ahnung.
Keine Ahnung.,No idea.,informell: ich weiß nicht,Ich weiß nicht.
Das stimmt.,That's correct.,zustimmen,Genau!
Genau!,Exactly!,stark zustimmen,Das stimmt!
Das stimmt nicht.,That's not correct.,nicht zustimmen,Nein das ist falsch.
Ja!,Yes!,positive Antwort,Natürlich!
Nein!,No!,negative Antwort,Natürlich nicht!
Vielleicht.,Maybe.,unsichere Antwort,Möglicherweise.
Natürlich!,Of course!,starke Zustimmung,Ja! Selbstverständlich!
Auf keinen Fall!,No way!/Absolutely not!,starke Ablehnung,Nein! Niemals!
Moment bitte!,Just a moment please!,um kurzes Warten bitten,Einen Augenblick bitte!
Einen Augenblick bitte!,One moment please!,um kurzes Warten bitten,Moment bitte!
Ich komme gleich zurück.,I'll be right back.,wenn man kurz weggeht,Ich bin gleich wieder da.
Ich bin gleich wieder da.,I'll be right back.,wenn man kurz weggeht,Ich komme gleich zurück.
Also...,So...,Gesprächsbeginn beim Überlegen,Nun... Ja also...
Nun...,Well...,Gesprächsbeginn beim Überlegen,Also... Ja also...
"Ja, also...","Yes, well...",Zögernd antworten,Also... Nun...
Das ist eine gute Frage...,That's a good question...,Zeit zum Nachdenken gewinnen,Lass mich mal überlegen...
Lass mich mal überlegen...,Let me think...,Zeit zum Nachdenken gewinnen,Das ist eine gute Frage...
Wie soll ich das sagen...,How should I put this...,Nach Worten suchen,Ich meine...
Moment mal...,Just a moment...,Um kurze Pause bitten,Einen Augenblick bitte!
Ich meine...,I mean...,Etwas klären oder präzisieren,Das heißt...
Oder besser gesagt...,Or better said...,Sich selbst korrigieren,Ich wollte sagen...
Ich wollte sagen...,I meant to say...,Sich selbst verbessern,Oder besser gesagt...
Anders formuliert...,Put differently...,Etwas neu ausdrücken,Genauer gesagt...
Genauer gesagt...,More precisely...,Etwas präzisieren,Anders formuliert...
Eigentlich...,Actually...,Eine Korrektur einleiten,Beziehungsweise...
Beziehungsweise...,Or rather...,Eine Verfeinerung machen,Eigentlich...
Meiner Ansicht nach...,In my view...,Formelle Meinung äußern,Ich bin der Meinung dass...
"Ich bin der Meinung, dass...",I'm of the opinion that...,Formelle Meinung äußern,Meiner Ansicht nach...
Aus meiner Sicht...,From my perspective...,Persönliche Sichtweise,Ich würde sagen...
Ich würde sagen...,I would say...,Vorsichtige Meinung,Mir scheint dass...
"Mir scheint, dass...",It seems to me that...,Vorsichtige Meinung,Ich würde sagen...
"Ich finde es wichtig, dass...",I find it important that...,Wertung ausdrücken,Was mich betrifft...
Was mich betrifft...,As far as I'm concerned...,Persönliche Stellung,Ich finde es wichtig dass...
Da stimme ich zu,I agree with that,Einfache Zustimmung,Das sehe ich genauso
Das sehe ich genauso,I see it the same way,Volle Zustimmung,Da stimme ich zu
Da bin ich anderer Meinung,I have a different opinion,Höflicher Widerspruch,Das sehe ich anders
Das sehe ich anders,I see it differently,Höflicher Widerspruch,Da bin ich anderer Meinung
Einerseits... andererseits...,On one hand... on the other hand...,Ausgewogene Sichtweise,Zum Teil stimmt das aber...
"Zum Teil stimmt das, aber...","That's partly true, but...",Teilweise Zustimmung,Einerseits... andererseits...
Ich komme ursprünglich aus...,I originally come from...,Herkunft nennen (B1-Prüfung),Ich komme aus...
Seit X Jahren wohne ich in...,I've been living in... for X years,Wohndauer nennen (B1-Prüfung),Ich wohne in...
Beruflich bin ich...,"Professionally, I am...",Beruf beschreiben (B1-Prüfung),Ich arbeite als...
In meiner Freizeit beschäftige ich mich mit...,In my free time I occupy myself with...,Hobbys nennen (B1-Prüfung),Ich interessiere mich für...
Ich interessiere mich besonders für...,I'm particularly interested in...,Interessen nennen (B1-Prüfung),In meiner Freizeit...
"Meine Muttersprache ist..., aber...","My native language is..., but...",Sprachhintergrund (B1-Prüfung),Ich spreche...
Ich lerne seit X Jahren Deutsch,I've been learning German for X years,Lerndauer nennen (B1-Prüfung),Ich lerne Deutsch
"Am Anfang war es schwierig, aber...","At first it was difficult, but...",Lernweg beschreiben (B1-Prüfung),Ich lerne seit...
Besonders gut kann ich...,I'm particularly good at...,Stärken nennen (B1-Prüfung),Ich kann gut...
Ich muss noch an... arbeiten,I still need to work on...,Verbesserungsbereiche (B1-Prüfung),Ich möchte besser...
"Der Grund, warum ich Deutsch lerne, ist...",The reason I'm learning German is...,Motivation erklären (B1-Prüfung),Ich lerne Deutsch weil...
Ich möchte über... sprechen,I'd like to talk about...,Thema einführen (B1-Prüfung),Mein Thema ist...
Mein Thema heute ist...,My topic today is...,Thema nennen (B1-Prüfung),Ich spreche über...
"Ich habe dieses Thema gewählt, weil...",I chose this topic because...,Themenwahl begründen (B1-Prüfung),Das Thema ist wichtig weil...
Erstens/Zweitens/Drittens...,Firstly/Secondly/Thirdly...,Punkte aufzählen,Zuerst... dann... danach...
Der wichtigste Punkt ist...,The most important point is...,Betonung setzen,Das Wichtigste ist...
Ein gutes Beispiel dafür ist...,A good example of this is...,Beispiel geben,Zum Beispiel...
Aus eigener Erfahrung kann ich sagen...,From personal experience I can say...,Persönliche Erfahrung,Ich habe erlebt dass...
In meinem Heimatland...,In my home country...,Kulturvergleich machen,Bei uns zu Hause...
Zusammenfassend kann man sagen...,"In summary, one can say...",Zusammenfassung beginnen,Abschließend...
Abschließend möchte ich betonen...,"In conclusion, I'd like to emphasize...",Schluss betonen,Zum Schluss...
Das war alles was ich dazu sagen wollte,That's all I wanted to say about that,Präsentation beenden,Das war meine Präsentation
Wie wäre es mit...?,How about...?,Vorschlag machen (B1-Dialog),Wir könnten...
Wir könnten...,We could...,Möglichkeit vorschlagen,Wie wäre es mit...?
Ich schlage vor dass...,I suggest that...,Formeller Vorschlag,Mein Vorschlag ist...
Was hältst du davon wenn...?,What do you think about...?,Nach Meinung fragen,Wie findest du...?
Vielleicht sollten wir...,Perhaps we should...,Vorsichtiger Vorschlag,Wir könnten vielleicht...
Das ist eine gute Idee,That's a good idea,Positiv reagieren,Das gefällt mir
Das gefällt mir,I like that,Zustimmung zeigen,Das ist eine gute Idee
Ich bin nicht sicher ob...,I'm not sure if...,Zögern ausdrücken,Vielleicht...
Das könnte funktionieren,That could work,Vorsichtige Zustimmung,Das wäre möglich
Lass uns lieber...,Let's rather...,Alternative vorschlagen,Wie wäre es stattdessen mit...
Wir müssen auch bedenken...,We also need to consider...,Überlegungen hinzufügen,Vergiss nicht dass...
Vergiss nicht dass...,Don't forget that...,Erinnern,Denk daran dass...
Das Wichtigste ist...,The most important thing is...,Priorität setzen,Der wichtigste Punkt ist...
Einigen wir uns auf...,Let's agree on...,Konsens erreichen,Sind wir uns einig?
Sehr geehrte Damen und Herren,Dear Sir or Madam,Formelle E-Mail (unbekannter Empfänger),Sehr geehrte Frau... Sehr geehrter Herr...
Sehr geehrte Frau X,Dear Ms. X,Formelle E-Mail (bekannte Frau),Sehr geehrte Damen und Herren
Sehr geehrter Herr X,Dear Mr. X,Formelle E-Mail (bekannter Mann),Sehr geehrte Damen und Herren
Bezüglich Ihrer Anfrage...,Regarding your inquiry...,Auf vorherigen Kontakt beziehen,Ich beziehe mich auf...
Ich schreibe Ihnen weil...,I'm writing to you because...,Zweck nennen (formell),Mit diesem Schreiben...
Mit diesem Schreiben möchte ich...,With this letter I would like to...,Formeller Zweck,Ich schreibe Ihnen weil...
Liebe Frau X,Dear Ms. X,Weniger formelle Anrede,Sehr geehrte Frau X
Lieber Herr X,Dear Mr. X,Weniger formelle Anrede,Sehr geehrter Herr X
Vielen Dank für Ihre Nachricht,Thank you for your message,Nachricht bestätigen,Ich habe Ihre E-Mail erhalten
Ich habe Ihre Anzeige gelesen und...,I read your ad and...,Auf Anzeige antworten,Bezüglich Ihrer Anzeige...
Mit freundlichen Grüßen,With friendly regards,Standard formeller Abschluss,Beste Grüße
Ich freue mich auf Ihre Antwort,I look forward to your reply,Antwort erwarten,Über eine Antwort würde ich mich freuen
Vielen Dank im Voraus,Thank you in advance,Vorab danken,Ich danke Ihnen schon jetzt
Für weitere Fragen stehe ich gerne zur Verfügung,I'm happy to be available for further questions,Verfügbarkeit anbieten,Bei Fragen melden Sie sich gerne
Beste Grüße,Best regards,Weniger formeller Abschluss,Mit freundlichen Grüßen
Herzliche Grüße,Warm regards,Freundlich-formell,Beste Grüße
Bis bald,See you soon,Informelle Erwartung,Bis später
Ich möchte mich über... beschweren,I would like to complain about...,Beschwerde einleiten,Ich bin unzufrieden mit...
Leider muss ich Ihnen mitteilen dass...,Unfortunately I must inform you that...,Schlechte Nachricht,Es tut mir leid aber...
Ich bin sehr unzufrieden mit...,I'm very dissatisfied with...,Unzufriedenheit ausdrücken,Ich möchte mich beschweren über...
Ich erwarte...,I expect...,Erwartung aussprechen,Ich hoffe auf...
Ich möchte Sie bitten...,I would like to ask you...,Höfliche Bitte,Könnten Sie bitte...?
Könnten Sie mir bitte...?,Could you please...?,Fragebitte,Wäre es möglich...?
Wäre es möglich...?,Would it be possible...?,Vorsichtige Bitte,Könnten Sie vielleicht...?
Ich wäre Ihnen dankbar wenn...,I would be grateful if...,Dankbare Bitte,Es wäre nett wenn...
Ich möchte Sie darüber informieren dass...,I'd like to inform you that...,Information einleiten,Ich teile Ihnen mit dass...
Bezüglich Ihrer Frage kann ich Ihnen mitteilen...,Regarding your question I can tell you...,Auf Anfrage antworten,Zu Ihrer Frage...
Weitere Informationen finden Sie...,Further information can be found...,Auf Zusatzinfo verweisen,Mehr dazu unter...
Es tut mir sehr leid dass...,I'm very sorry that...,Direkte Entschuldigung,Ich entschuldige mich für...
Ich möchte mich entschuldigen für...,I would like to apologize for...,Formelle Entschuldigung,Es tut mir leid dass...
Leider konnte ich nicht rechtzeitig...,Unfortunately I couldn't... in time,Erklärung mit Bedauern,Es tut mir leid aber...
zuerst... dann... danach... schließlich,first... then... after that... finally,Zeitliche Abfolge,erstens... zweitens... drittens
erstens... zweitens... drittens,firstly... secondly... thirdly,Aufzählung,zuerst... dann... danach
bevor,before,Zeitliche Beziehung,nachdem
nachdem,after,Zeitliche Beziehung,bevor
währenddessen,meanwhile,Gleichzeitige Handlung,gleichzeitig
anschließend,subsequently,Folgende Handlung,danach
jedoch,however,Formeller Gegensatz,allerdings
allerdings,though/however,Weicherer Gegensatz,jedoch
trotzdem,nevertheless,Trotz dessen,dennoch
obwohl,although,Untergeordneter Gegensatz,auch wenn
dennoch,nonetheless,Formelles trotzdem,trotzdem
im Gegensatz zu,in contrast to,Direkter Vergleich,anders als
deswegen,therefore,Konsequenz,deshalb
deshalb,that's why,Grund-Ergebnis,deswegen
daher,hence,Formelle Konsequenz,deshalb
aus diesem Grund,for this reason,Expliziter Grund,deswegen
folglich,consequently,Formelles Ergebnis,somit
somit,thus,Schlussfolgerung,folglich
außerdem,besides,Zusätzlicher Punkt,zusätzlich
zusätzlich,additionally,Extra Information,außerdem
darüber hinaus,furthermore,Darüber hinaus,außerdem
ebenfalls,likewise,Auch/ebenso,auch
sowie,as well as,Einschließlich,und auch
