noun,article,english,plural,example,related
Badezimmer,das,bathroom,Badezimmer,Das Badezimmer ist groß.,"das Bad, die Toilette"
Toilette,die,toilet,Toiletten,Die Toilette ist links.,"das WC, das Bad"
Schlafzimmer,das,bedroom,Schlafzimmer,Das Schlafzimmer ist ruhig.,"das Bett, das Zimmer"
Wohnzimmer,das,living room,Wohnzimmer,Das Wohnzimmer hat einen Fernseher.,"das Sofa, der Sessel"
Esszimmer,das,dining room,Esszimmer,Das Esszimmer ist neben der Küche.,"der Tisch, der Stuhl"
Flur,der,hallway,Flure,Der Flur ist lang.,"der Gang, die Diele"
Balkon,der,balcony,Balkone,Der Balkon hat Blumen.,"die Terrasse, der Garten"
Garten,der,garden,Gärten,Der Garten ist groß.,"die Blume, der Baum"
Tür,die,door,Türen,Die Tür ist offen.,"das Fenster, der Eingang"
Fenster,das,window,Fenster,Das Fenster ist geschlossen.,"die Tür, das Glas"
Wand,die,wall,Wände,Die Wand ist weiß.,"die Decke, der Boden"
Boden,der,floor,Böden,Der Boden ist sauber.,"die Decke, der Teppich"
Decke,die,ceiling/blanket,Decken,Die Decke ist hoch.,"der Boden, die Wand"
Treppe,die,stairs,Treppen,Die Treppe führt nach oben.,"der Aufzug, die Stufe"
Aufzug,der,elevator,Aufzüge,Der Aufzug ist kaputt.,"die Treppe, der Lift"
Keller,der,basement,Keller,Der Keller ist dunkel.,"der Dachboden, der Raum"
Dach,das,roof,Dächer,Das Dach ist rot.,"das Haus, der Dachboden"
Möbel,die,furniture,Möbel (plural),Die Möbel sind neu.,"der Tisch, der Stuhl"
Tisch,der,table,Tische,Der Tisch ist aus Holz.,"der Stuhl, die Möbel"
Stuhl,der,chair,Stühle,Der Stuhl ist bequem.,"der Tisch, der Sessel"
Bett,das,bed,Betten,Das Bett ist groß.,"das Schlafzimmer, die Matratze"
Schrank,der,cupboard/wardrobe,Schränke,Der Schrank ist voll.,"die Kommode, das Regal"
Sofa,das,sofa,Sofas,Das Sofa ist gemütlich.,"der Sessel, das Wohnzimmer"
Sessel,der,armchair,Sessel,Der Sessel ist alt.,"das Sofa, der Stuhl"
Regal,das,shelf,Regale,Das Regal hat viele Bücher.,"der Schrank, das Buch"
Lampe,die,lamp,Lampen,Die Lampe ist hell.,"das Licht, die Glühbirne"
Uhr,die,clock/watch,Uhren,Die Uhr zeigt drei Uhr.,"die Zeit, die Armbanduhr"
Bild,das,picture,Bilder,Das Bild hängt an der Wand.,"das Foto, die Kunst"
Fernseher,der,television,Fernseher,Der Fernseher ist neu.,"das Programm, der Bildschirm"
Computer,der,computer,Computer,Der Computer ist schnell.,"der Laptop, das Internet"
Telefon,das,telephone,Telefone,Das Telefon klingelt.,"das Handy, der Anruf"
Handy,das,mobile phone,Handys,Das Handy ist klein.,"das Telefon, das Smartphone"
Schlüssel,der,key,Schlüssel,Der Schlüssel ist verloren.,"die Tür, das Schloss"
Stadt,die,city,Städte,Die Stadt ist groß.,"das Dorf, das Zentrum"
Dorf,das,village,Dörfer,Das Dorf ist klein.,"die Stadt, das Land"
Straße,die,street,Straßen,Die Straße ist lang.,"der Weg, die Autobahn"
Platz,der,square/place/seat,Plätze,Der Platz ist frei.,"der Ort, der Sitzplatz"
Weg,der,way/path,Wege,Der Weg ist kurz.,"die Straße, die Richtung"
Brücke,die,bridge,Brücken,Die Brücke ist alt.,"der Fluss, die Straße"
Park,der,park,Parks,Der Park ist schön.,"der Garten, der Wald"
Bahnhof,der,train station,Bahnhöfe,Der Bahnhof ist zentral.,"der Zug, die Bahn"
Flughafen,der,airport,Flughäfen,Der Flughafen ist modern.,"das Flugzeug, das Terminal"
Haltestelle,die,stop (bus/tram),Haltestellen,Die Haltestelle ist hier.,"der Bus, die Straßenbahn"
Hotel,das,hotel,Hotels,Das Hotel hat fünf Sterne.,"das Zimmer, die Pension"
Restaurant,das,restaurant,Restaurants,Das Restaurant ist teuer.,"das Café, die Küche"
Café,das,café,Cafés,Das Café ist gemütlich.,"das Restaurant, der Kaffee"
Supermarkt,der,supermarket,Supermärkte,Der Supermarkt ist groß.,"das Geschäft, der Laden"
Geschäft,das,shop/business,Geschäfte,Das Geschäft ist geschlossen.,"der Laden, der Supermarkt"
Laden,der,shop,Läden,Der Laden öffnet um neun.,"das Geschäft, der Markt"
Markt,der,market,Märkte,Der Markt ist samstags.,"der Supermarkt, das Gemüse"
Bank,die,bank,Banken,Die Bank ist geöffnet.,"das Geld, das Konto"
Post,die,post office,Postämter,Die Post ist um die Ecke.,"der Brief, das Paket"
Apotheke,die,pharmacy,Apotheken,Die Apotheke hat Medizin.,"das Medikament, der Arzt"
Krankenhaus,das,hospital,Krankenhäuser,Das Krankenhaus ist neu.,"der Arzt, die Klinik"
Schule,die,school,Schulen,Die Schule beginnt um acht.,"der Lehrer, das Klassenzimmer"
Universität,die,university,Universitäten,Die Universität ist groß.,"der Student, das Studium"
Bibliothek,die,library,Bibliotheken,Die Bibliothek hat viele Bücher.,"das Buch, das Lesen"
Kino,das,cinema,Kinos,Das Kino zeigt einen neuen Film.,"der Film, die Karte"
Theater,das,theater,Theater,Das Theater ist alt.,"die Bühne, das Stück"
Museum,das,museum,Museen,Das Museum ist interessant.,"die Kunst, die Ausstellung"
Kirche,die,church,Kirchen,Die Kirche ist schön.,"der Gottesdienst, der Pfarrer"
Büro,das,office,Büros,Das Büro ist im dritten Stock.,"die Arbeit, der Schreibtisch"
Firma,die,company,Firmen,Die Firma hat viele Mitarbeiter.,"das Unternehmen, die Arbeit"
Fabrik,die,factory,Fabriken,Die Fabrik produziert Autos.,"die Arbeit, die Produktion"
Arbeit,die,work,Arbeiten,Die Arbeit macht Spaß.,"der Job, der Beruf"
Beruf,der,profession,Berufe,Sein Beruf ist Lehrer.,"die Arbeit, der Job"
Job,der,job,Jobs,Der Job ist gut bezahlt.,"die Arbeit, die Stelle"
Kollege,der,colleague (male),Kollegen,Mein Kollege hilft mir.,"die Kollegin, der Mitarbeiter"
Kollegin,die,colleague (female),Kolleginnen,Die Kollegin ist nett.,"der Kollege, die Mitarbeiterin"
Chef,der,boss,Chefs,Der Chef ist streng.,"die Chefin, der Vorgesetzte"
Chefin,die,boss (female),Chefinnen,Die Chefin ist fair.,"der Chef, die Vorgesetzte"
Kunde,der,customer (male),Kunden,Der Kunde wartet.,"die Kundin, der Käufer"
Kundin,die,customer (female),Kundinnen,Die Kundin kauft viel.,"der Kunde, die Käuferin"
Geld,das,money,Gelder,Das Geld ist wichtig.,"der Euro, die Münze"
Euro,der,euro,Euro/Euros,Der Euro ist die Währung.,"das Geld, der Cent"
Preis,der,price,Preise,Der Preis ist hoch.,"das Geld, die Kosten"
Rechnung,die,bill/invoice,Rechnungen,Die Rechnung ist bezahlt.,"das Geld, die Quittung"
Kasse,die,cash register/checkout,Kassen,Die Kasse ist dort.,"das Geld, die Bezahlung"
Auto,das,car,Autos,Das Auto ist rot.,"der Wagen, das Fahrzeug"
Bus,der,bus,Busse,Der Bus kommt gleich.,"die Straßenbahn, der Verkehr"
Bahn,die,train/railway,Bahnen,Die Bahn ist pünktlich.,"der Zug, der Bahnhof"
Zug,der,train,Züge,Der Zug fährt schnell.,"die Bahn, der Bahnhof"
Straßenbahn,die,tram,Straßenbahnen,Die Straßenbahn ist voll.,"der Bus, die U-Bahn"
U-Bahn,die,subway,U-Bahnen,Die U-Bahn fährt unterirdisch.,"die S-Bahn, die Straßenbahn"
S-Bahn,die,suburban train,S-Bahnen,Die S-Bahn verbindet die Vororte.,"die U-Bahn, der Zug"
Fahrrad,das,bicycle,Fahrräder,Das Fahrrad ist grün.,"das Rad, das Fahren"
Motorrad,das,motorcycle,Motorräder,Das Motorrad ist laut.,"das Auto, das Fahrzeug"
Flugzeug,das,airplane,Flugzeuge,Das Flugzeug fliegt hoch.,"der Flug, der Flughafen"
Schiff,das,ship,Schiffe,Das Schiff fährt langsam.,"das Boot, das Meer"
Boot,das,boat,Boote,Das Boot ist klein.,"das Schiff, der See"
Fahrkarte,die,ticket,Fahrkarten,Die Fahrkarte kostet drei Euro.,"das Ticket, die Karte"
Essen,das,food/meal,Essen,Das Essen schmeckt gut.,"die Mahlzeit, das Gericht"
Frühstück,das,breakfast,Frühstücke,Das Frühstück ist um acht.,"das Essen, der Morgen"
Mittagessen,das,lunch,Mittagessen,Das Mittagessen ist lecker.,"das Essen, der Mittag"
Abendessen,das,dinner,Abendessen,Das Abendessen ist um sieben.,"das Essen, der Abend"
Brot,das,bread,Brote,Das Brot ist frisch.,"das Brötchen, die Bäckerei"
Brötchen,das,bread roll,Brötchen,Das Brötchen ist knusprig.,"das Brot, die Semmel"
Butter,die,butter,Butter,Die Butter ist im Kühlschrank.,"die Margarine, das Brot"
Käse,der,cheese,Käse,Der Käse ist lecker.,"die Wurst, das Brot"
Wurst,die,sausage,Würste,Die Wurst ist scharf.,"der Käse, das Fleisch"
Fleisch,das,meat,Fleisch,Das Fleisch ist teuer.,"die Wurst, das Essen"
Fisch,der,fish,Fische,Der Fisch ist frisch.,"das Fleisch, das Meer"
Ei,das,egg,Eier,Das Ei ist gekocht.,"das Frühstück, das Huhn"
Milch,die,milk,Milch,Die Milch ist kalt.,"der Kaffee, das Getränk"
Obst,das,fruit,Obst,Das Obst ist gesund.,"das Gemüse, der Apfel"
Gemüse,das,vegetables,Gemüse,Das Gemüse ist frisch.,"das Obst, der Salat"
Apfel,der,apple,Äpfel,Der Apfel ist rot.,"das Obst, die Birne"
Birne,die,pear,Birnen,Die Birne ist süß.,"der Apfel, das Obst"
Banane,die,banana,Bananen,Die Banane ist gelb.,"das Obst, die Frucht"
Orange,die,orange,Orangen,Die Orange ist saftig.,"die Zitrone, das Obst"
Tomate,die,tomato,Tomaten,Die Tomate ist reif.,"das Gemüse, der Salat"
Kartoffel,die,potato,Kartoffeln,Die Kartoffel ist groß.,"das Gemüse, die Pommes"
Salat,der,salad/lettuce,Salate,Der Salat ist grün.,"das Gemüse, das Essen"
Reis,der,rice,Reis,Der Reis ist weiß.,"die Nudeln, das Essen"
Nudeln,die,pasta/noodles,Nudeln (plural),Die Nudeln sind al dente.,"der Reis, die Spaghetti"
Pizza,die,pizza,Pizzas/Pizzen,Die Pizza ist heiß.,"das Essen, das Restaurant"
Suppe,die,soup,Suppen,Die Suppe ist warm.,"das Essen, der Teller"
Kuchen,der,cake,Kuchen,Der Kuchen ist süß.,"die Torte, das Dessert"
Torte,die,fancy cake/tart,Torten,Die Torte ist schön.,"der Kuchen, das Dessert"
Eis,das,ice cream/ice,Eis,Das Eis ist kalt.,"das Dessert, der Sommer"
Schokolade,die,chocolate,Schokoladen,Die Schokolade ist lecker.,"die Süßigkeit, der Kakao"
Zucker,der,sugar,Zucker,Der Zucker ist weiß.,"das Salz, der Kaffee"
Salz,das,salt,Salze,Das Salz ist wichtig.,"der Zucker, der Pfeffer"
Pfeffer,der,pepper,Pfeffer,Der Pfeffer ist scharf.,"das Salz, das Gewürz"
Öl,das,oil,Öle,Das Öl ist teuer.,"das Fett, das Kochen"
Wasser,das,water,Wasser,Das Wasser ist klar.,"das Getränk, die Flasche"
Kaffee,der,coffee,Kaffees,Der Kaffee ist stark.,"der Tee, das Getränk"
Tee,der,tea,Tees,Der Tee ist heiß.,"der Kaffee, das Getränk"
Milch,die,milk,Milch,Die Milch ist frisch.,"das Getränk, der Kaffee"
Saft,der,juice,Säfte,Der Saft ist süß.,"das Getränk, das Obst"
Bier,das,beer,Biere,Das Bier ist kalt.,"der Wein, das Getränk"
Wein,der,wine,Weine,Der Wein ist rot.,"das Bier, die Traube"
Flasche,die,bottle,Flaschen,Die Flasche ist voll.,"das Glas, das Getränk"
Glas,das,glass,Gläser,Das Glas ist leer.,"die Flasche, das Trinken"
Tasse,die,cup,Tassen,Die Tasse ist klein.,"das Glas, der Kaffee"
Teller,der,plate,Teller,Der Teller ist sauber.,"das Geschirr, das Essen"
Messer,das,knife,Messer,Das Messer ist scharf.,"die Gabel, das Besteck"
Gabel,die,fork,Gabeln,Die Gabel liegt links.,"das Messer, der Löffel"
Löffel,der,spoon,Löffel,Der Löffel ist groß.,"die Gabel, das Besteck"
Tag,der,day,Tage,Der Tag ist lang.,"die Nacht, die Woche"
Nacht,die,night,Nächte,Die Nacht ist dunkel.,"der Tag, der Abend"
Morgen,der,morning,Morgen,Der Morgen ist schön.,"der Abend, der Tag"
Vormittag,der,morning/forenoon,Vormittage,Der Vormittag ist frei.,"der Nachmittag, der Morgen"
Mittag,der,noon/midday,Mittage,Der Mittag ist warm.,"der Vormittag, der Nachmittag"
Nachmittag,der,afternoon,Nachmittage,Der Nachmittag ist lang.,"der Vormittag, der Abend"
Abend,der,evening,Abende,Der Abend ist ruhig.,"der Morgen, die Nacht"
Woche,die,week,Wochen,Die Woche hat sieben Tage.,"der Monat, der Tag"
Wochenende,das,weekend,Wochenenden,Das Wochenende ist kurz.,"die Woche, der Samstag"
Monat,der,month,Monate,Der Monat hat dreißig Tage.,"das Jahr, die Woche"
Jahr,das,year,Jahre,Das Jahr hat zwölf Monate.,"der Monat, die Zeit"
Uhrzeit,die,time (of day),Uhrzeiten,Die Uhrzeit ist wichtig.,"die Uhr, die Zeit"
Stunde,die,hour,Stunden,Die Stunde hat sechzig Minuten.,"die Minute, die Zeit"
Minute,die,minute,Minuten,Die Minute ist kurz.,"die Stunde, die Sekunde"
Sekunde,die,second,Sekunden,Die Sekunde vergeht schnell.,"die Minute, die Zeit"
Zeit,die,time,Zeiten,Die Zeit vergeht schnell.,"die Uhr, die Stunde"
Montag,der,Monday,Montage,Der Montag ist der erste Arbeitstag.,"der Dienstag, die Woche"
Dienstag,der,Tuesday,Dienstage,Der Dienstag ist ruhig.,"der Montag, der Mittwoch"
Mittwoch,der,Wednesday,Mittwoche,Der Mittwoch ist die Wochenmitte.,"der Dienstag, der Donnerstag"
Donnerstag,der,Thursday,Donnerstage,Der Donnerstag ist fast Freitag.,"der Mittwoch, der Freitag"
Freitag,der,Friday,Freitage,Der Freitag ist der letzte Arbeitstag.,"der Donnerstag, das Wochenende"
Samstag,der,Saturday,Samstage,Der Samstag ist frei.,"der Sonntag, das Wochenende"
Sonntag,der,Sunday,Sonntage,Der Sonntag ist ein Ruhetag.,"der Samstag, das Wochenende"
Januar,der,January,Januar,Der Januar ist kalt.,"der Februar, der Winter"
Februar,der,February,Februar,Der Februar ist kurz.,"der Januar, der März"
März,der,March,März,Der März ist der Frühlingsanfang.,"der Februar, der April"
April,der,April,April,Der April macht was er will.,"der März, der Mai"
Mai,der,May,Mai,Der Mai ist schön.,"der April, der Juni"
Juni,der,June,Juni,Der Juni ist warm.,"der Mai, der Juli"
Juli,der,July,Juli,Der Juli ist heiß.,"der Juni, der August"
August,der,August,August,Der August ist der Urlaubsmonat.,"der Juli, der September"
September,der,September,September,Der September ist der Herbstanfang.,"der August, der Oktober"
Oktober,der,October,Oktober,Der Oktober ist bunt.,"der September, der November"
November,der,November,November,Der November ist grau.,"der Oktober, der Dezember"
Dezember,der,December,Dezember,Der Dezember hat Weihnachten.,"der November, der Winter"
Frühling,der,spring,Frühlinge,Der Frühling ist grün.,"der Sommer, die Jahreszeit"
Sommer,der,summer,Sommer,Der Sommer ist heiß.,"der Frühling, der Herbst"
Herbst,der,autumn/fall,Herbste,Der Herbst ist bunt.,"der Sommer, der Winter"
Winter,der,winter,Winter,Der Winter ist kalt.,"der Herbst, der Frühling"
Wetter,das,weather,Wetter,Das Wetter ist schön.,"die Sonne, der Regen"
Sonne,die,sun,Sonnen,Die Sonne scheint.,"der Mond, das Wetter"
Mond,der,moon,Monde,Der Mond ist voll.,"die Sonne, die Nacht"
Regen,der,rain,Regen,Der Regen ist stark.,"das Wetter, der Schnee"
Schnee,der,snow,Schnee,Der Schnee ist weiß.,"der Regen, der Winter"
Wind,der,wind,Winde,Der Wind ist kalt.,"das Wetter, der Sturm"
Körper,der,body,Körper,Der Körper ist gesund.,"die Gesundheit, der Kopf"
Kopf,der,head,Köpfe,Der Kopf tut weh.,"der Körper, das Haar"
Haar,das,hair,Haare,Das Haar ist lang.,"der Kopf, die Frisur"
Auge,das,eye,Augen,Das Auge ist blau.,"das Gesicht, das Sehen"
Nase,die,nose,Nasen,Die Nase ist klein.,"das Gesicht, der Geruch"
Mund,der,mouth,Münder,Der Mund ist offen.,"das Gesicht, die Lippe"
Ohr,das,ear,Ohren,Das Ohr hört gut.,"der Kopf, das Hören"
Zahn,der,tooth,Zähne,Der Zahn ist weiß.,"der Mund, der Zahnarzt"
Hals,der,neck/throat,Hälse,Der Hals ist lang.,"der Kopf, der Körper"
Arm,der,arm,Arme,Der Arm ist stark.,"die Hand, der Körper"
Hand,die,hand,Hände,Die Hand hat fünf Finger.,"der Arm, der Finger"
Finger,der,finger,Finger,Der Finger ist verletzt.,"die Hand, der Daumen"
Bein,das,leg,Beine,Das Bein ist lang.,"der Fuß, der Körper"
Fuß,der,foot,Füße,Der Fuß ist groß.,"das Bein, der Schuh"
Bauch,der,belly/stomach,Bäuche,Der Bauch tut weh.,"der Körper, der Magen"
Rücken,der,back,Rücken,Der Rücken ist gerade.,"der Körper, der Bauch"
Herz,das,heart,Herzen,Das Herz schlägt schnell.,"der Körper, die Liebe"
