Category,Subcategory,German,English,Function/Context,Priority
Speaking - B1 Test,Responding to Suggestions,Lass uns lieber...,Let's rather...,Alternative suggestion,MEDIUM
Speaking - B1 Test,Negotiating,Wir müssen auch bedenken...,We also need to consider...,Adding considerations,HIGH
Speaking - B1 Test,Negotiating,Vergiss nicht dass...,Don't forget that...,Reminder,MEDIUM
Speaking - B1 Test,Negotiating,Das Wichtigste ist...,The most important thing is...,Priority setting,HIGH
Speaking - B1 Test,Negotiating,Einigen wir uns auf...,Let's agree on...,Reaching consensus,HIGH
Writing - Email,Formal Opening,Sehr geehrte Damen und Herren,Dear Sir or Madam,Unknown recipient,HIGH
Writing - Email,Formal Opening,Sehr geehrte Frau X,Dear Ms. X,Known female recipient,HIGH
Writing - Email,Formal Opening,Sehr geehrter Herr X,Dear Mr. X,Known male recipient,HIGH
Writing - Email,Formal Opening,Bezüglich Ihrer Anfrage...,Regarding your inquiry...,Reference to previous contact,MEDIUM
Writing - Email,Formal Opening,Ich schreibe Ihnen weil...,I'm writing to you because...,Purpose statement,HIGH
Writing - Email,Formal Opening,Mit diesem Schreiben möchte ich...,With this letter I would like to...,Formal purpose,MEDIUM
Writing - Email,Semi-formal Opening,Liebe Frau X,Dear Ms. X,Less formal address,HIGH
Writing - Email,Semi-formal Opening,Lieber Herr X,Dear Mr. X,Less formal address,HIGH
Writing - Email,Semi-formal Opening,Vielen Dank für Ihre Nachricht,Thank you for your message,Acknowledgment,HIGH
Writing - Email,Semi-formal Opening,Ich habe Ihre Anzeige gelesen und...,I read your ad and...,Response to advertisement,MEDIUM
Writing - Email,Formal Closing,Mit freundlichen Grüßen,With friendly regards,Standard formal,HIGH
Writing - Email,Formal Closing,Ich freue mich auf Ihre Antwort,I look forward to your reply,Expecting response,HIGH
Writing - Email,Formal Closing,Vielen Dank im Voraus,Thank you in advance,Preemptive thanks,HIGH
Writing - Email,Formal Closing,Für weitere Fragen stehe ich gerne zur Verfügung,I'm happy to be available for further questions,Availability statement,MEDIUM
Writing - Email,Semi-formal Closing,Beste Grüße,Best regards,Less formal,HIGH
Writing - Email,Semi-formal Closing,Herzliche Grüße,Warm regards,Friendly formal,MEDIUM
Writing - Email,Semi-formal Closing,Bis bald,See you soon,Informal expectation,LOW
Writing - Function,Complaint,Ich möchte mich über... beschweren,I would like to complain about...,Complaint introduction,HIGH
Writing - Function,Complaint,Leider muss ich Ihnen mitteilen dass...,Unfortunately I must inform you that...,Bad news introduction,HIGH
Writing - Function,Complaint,Ich bin sehr unzufrieden mit...,I'm very dissatisfied with...,Dissatisfaction statement,HIGH
Writing - Function,Complaint,Ich erwarte...,I expect...,Expectation statement,MEDIUM
Writing - Function,Request,Ich möchte Sie bitten...,I would like to ask you...,Polite request,HIGH
Writing - Function,Request,Könnten Sie mir bitte...?,Could you please...?,Question request,HIGH
Writing - Function,Request,Wäre es möglich...?,Would it be possible...?,Tentative request,HIGH
Writing - Function,Request,Ich wäre Ihnen dankbar wenn...,I would be grateful if...,Grateful request,MEDIUM
Writing - Function,Information,Ich möchte Sie darüber informieren dass...,I'd like to inform you that...,Information introduction,HIGH
Writing - Function,Information,Bezüglich Ihrer Frage kann ich Ihnen mitteilen...,Regarding your question I can tell you...,Answer to inquiry,MEDIUM
Writing - Function,Information,Weitere Informationen finden Sie...,Further information can be found...,Additional info location,MEDIUM
Writing - Function,Apology,Es tut mir sehr leid dass...,I'm very sorry that...,Direct apology,HIGH
Writing - Function,Apology,Ich möchte mich entschuldigen für...,I would like to apologize for...,Formal apology,HIGH
Writing - Function,Apology,Leider konnte ich nicht...,Unfortunately I couldn't...,Explanation with regret,MEDIUM
Connectors,Sequence,zuerst... dann... danach... schließlich,first... then... after that... finally,Time sequence,HIGH
Connectors,Sequence,erstens... zweitens... drittens,firstly... secondly... thirdly,Enumeration,HIGH
Connectors,Sequence,bevor,before,Time relation,HIGH
Connectors,Sequence,nachdem,after,Time relation,HIGH
Connectors,Sequence,währenddessen,meanwhile,Simultaneous action,MEDIUM
Connectors,Sequence,anschließend,subsequently,Following action,MEDIUM
Connectors,Contrast,jedoch,however,Formal contrast,HIGH
Connectors,Contrast,allerdings,though/however,Softer contrast,HIGH
Connectors,Contrast,trotzdem,nevertheless,Despite that,HIGH
Connectors,Contrast,obwohl,although,Subordinate contrast,HIGH
Connectors,Contrast,dennoch,nonetheless,Formal nevertheless,MEDIUM
Connectors,Contrast,im Gegensatz zu,in contrast to,Direct comparison,MEDIUM
Connectors,Cause & Effect,deswegen,therefore,Consequence,HIGH
Connectors,Cause & Effect,deshalb,that's why,Reason result,HIGH
Connectors,Cause & Effect,daher,hence,Formal consequence,MEDIUM
Connectors,Cause & Effect,aus diesem Grund,for this reason,Explicit reason,HIGH
Connectors,Cause & Effect,folglich,consequently,Formal result,MEDIUM
Connectors,Cause & Effect,somit,thus,Conclusion,MEDIUM
Connectors,Addition,außerdem,besides,Additional point,HIGH
Connectors,Addition,zusätzlich,additionally,Extra information,MEDIUM
Connectors,Addition,darüber hinaus,furthermore,Beyond that,MEDIUM
Connectors,Addition,ebenfalls,likewise,Also/as well,MEDIUM
Connectors,Addition,sowie,as well as,Including,MEDIUM
